LOCATION,TIME,Value
AUS,2013,43.265
AUS,2014,44.998
AUS,2015,44.953
AUS,2016,44.451
AUS,2017,44.097
AUS,2018,44.43
AUS,2019,44.32
AUT,2013,47.055
AUT,2014,44.504
AUT,2015,43.047
AUT,2016,40.15
AUT,2017,41.448
AUT,2018,41.615
AUT,2019,42.686
CZE,2013,44.169
CZE,2014,41.903
CZE,2015,40.485
CZE,2016,39.563
CZE,2017,36.113
CZE,2018,36.259
CZE,2019,36.263
DNK,2013,53.805
DNK,2014,55.729
DNK,2015,55.355
DNK,2016,57.792
DNK,2017,53.056
DNK,2018,52.467
DNK,2019,53.862
FIN,2013,44.552
FIN,2014,43.636
FIN,2015,46.44
FIN,2016,44.327
FIN,2017,45.101
FIN,2018,44.343
FIN,2019,44.012
ISL,2013,47.503
ISL,2014,42.971
ISL,2015,46.235
ISL,2016,47.744
ISL,2017,46.912
ISL,2018,44.906
ISL,2019,41.855
LUX,2013,10.692
LUX,2014,14.491
LUX,2015,11.511
LUX,2016,9.385
LUX,2017,11.64
LUX,2018,9.156
NLD,2013,40.173
NLD,2014,41.136
NLD,2015,42.982
NLD,2016,43.665
NLD,2017,45.97
NLD,2018,46.125
NLD,2019,44.484
NZL,2013,49.473
NZL,2014,50.048
NZL,2015,48.559
NZL,2016,45.576
NZL,2017,43.403
NZL,2018,44.675
NZL,2019,46.078
NOR,2013,43.827
NOR,2014,45.798
NOR,2015,46.256
NOR,2016,47.165
NOR,2017,50.612
NOR,2018,53.031
NOR,2019,53.622
PRT,2013,43.709
PRT,2014,43.571
PRT,2015,44.494
PRT,2016,44.725
PRT,2017,48.839
PRT,2018,52.028
PRT,2019,51.069
SWE,2013,33.532
SWE,2014,34.34
SWE,2015,32.998
SWE,2016,33.932
SWE,2017,32.177
SWE,2018,32.738
SWE,2019,37.03
CHE,2013,35.934
CHE,2014,37.357
CHE,2015,36.067
CHE,2016,36.208
CHE,2017,37.118
CHE,2018,38.58
CHE,2019,39.614
GBR,2013,41.562
GBR,2014,41.866
GBR,2015,39.345
GBR,2016,42.774
GBR,2017,44.65
GBR,2018,47.482
GBR,2019,49.363
SVN,2013,64.254
SVN,2014,60.624
SVN,2015,60.412
SVN,2016,67.989
SVN,2017,55.548
SVN,2018,56.072
SVN,2019,55.122
