Year,Value(%ofGDP)
1971,5.032050133
1972,5.159379959
1973,5.448609829
1974,5.390999794
1975,6.268780231
1976,6.424220085
1977,6.063350201
1978,..
1979,..
1980,5.070119858
1981,5.2884202
1982,5.188700199
1983,5.061500072
1984,4.899059772
1985,4.594089985
1986,4.380839825
1987,4.371809959
1988,4.26831007
1989,4.125110149
1990,4.055520058
1991,4.122479916
1992,4.334489822
1993,..
1994,4.850830078
1995,4.839260101
1996,4.386829853
1997,..
1998,4.214389801
1999,3.99345994
2000,4.031730175
2001,4.118299961
2002,4.643370152
2003,4.816520214
2004,4.743639946
2005,4.949150085
2006,4.996890068
2007,4.928870201
2008,4.905139923
2009,5.076459885
2010,5.699749947
2011,5.580949783
2012,..
2013,5.531579971
2014,5.604569912
2015,5.553050041
2016,5.418940067
2017,5.444180012
2018,5.238900185
