Year,gvtexp_educ,school_enrollment
1971,5.032050133,14.58030987
1972,5.159379959,15.43801022
1973,5.448609829,16.06583977
1974,5.390999794,16.72007942
1975,6.268780231,18.54512024
1976,6.424220085,19.18024063
1977,6.063350201,19.32522964
1978,,19.12640953
1979,,19.16411972
1980,5.070119858,18.84958076
1981,5.2884202,18.88532066
1982,5.188700199,18.9608593
1983,5.061500072,21.05810928
1984,4.899059772,21.07250977
1985,4.594089985,20.99831963
1986,4.380839825,21.51789093
1987,4.371809959,22.54342079
1988,4.26831007,23.31349945
1989,4.125110149,24.40033913
1990,4.055520058,26.48238945
1991,4.122479916,29.18214989
1992,4.334489822,33.23070145
1993,,37.98561859
1994,4.850830078,42.81531143
1995,4.839260101,48.25759125
1996,4.386829853,50.08433151
1997,,53.28807068
1998,4.214389801,55.54418182
1999,3.99345994,60.11243057
2000,4.031730175,58.47404099
2001,4.118299961,59.26847076
2002,4.643370152,62.56843185
2003,4.816520214,62.06856155
2004,4.743639946,59.35145187
2005,4.949150085,58.96609879
2006,4.996890068,59.03244019
2007,4.928870201,58.49451065
2008,4.905139923,56.64390945
2009,5.076459885,57.90053177
2010,5.699749947,58.92335129
2011,5.580949783,59.14593124
2012,,59.40211868
2013,5.531579971,57.03876114
2014,5.604569912,56.5644989
2015,5.553050041,56.45848846
2016,5.418940067,58.42562103
2017,5.444180012,59.99557114
2018,5.238900185,61.38288879
