Local Authority,Religion,Value
Kent,No religion,"399,153"
Leeds,No religion,"237,888"
Surrey,No religion,"292,737"
Essex,No religion,"399,325"
Manchester,No religion,"153,701"
Sheffield,No religion,"199,852"
Glasgow City,No religion,"186,228"
Birmingham,No religion,"218,455"
Bristol,No religion,"145,063"
Cardiff,No religion,"108,886"
Kent,Christian,"990,130"
Leeds,Christian,"444,880"
Surrey,Christian,"745,396"
Essex,Christian,"937,680"
Manchester,Christian,"243,255"
Sheffield,Christian,"290,066"
Glasgow City,Christian,"355,186"
Birmingham,Christian,"514,886"
Bristol,Christian,"237,859"
Cardiff,Christian,"180,967"
Kent,Budhist,"4,929"
Leeds,Budhist,"1,715"
Surrey,Budhist,"6,215"
Essex,Budhist,"4,249"
Manchester,Budhist,"2,115"
Sheffield,Budhist,947
Glasgow City,Budhist,
Birmingham,Budhist,"10,096"
Bristol,Budhist,"1,725"
Cardiff,Budhist,"1,014"
Kent,Hindu,"14,103"
Leeds,Hindu,"8,277"
Surrey,Hindu,"20,342"
Essex,Hindu,"6,837"
Manchester,Hindu,"7,455"
Sheffield,Hindu,"2,979"
Glasgow City,Hindu,"4,627"
Birmingham,Hindu,"25,874"
Bristol,Hindu,"2,905"
Cardiff,Hindu,"6,200"
Kent,Jewish,"1,435"
Leeds,Jewish,"4,762"
Surrey,Jewish,"3,131"
Essex,Jewish,"11,715"
Manchester,Jewish,"1,402"
Sheffield,Jewish,"1,147"
Glasgow City,Jewish,"1,146"
Birmingham,Jewish,"1,101"
Bristol,Jewish,
Cardiff,Jewish,900
Kent,Muslim,"13,879"
Leeds,Muslim,"29,661"
Surrey,Muslim,"30,170"
Essex,Muslim,"5,109"
Manchester,Muslim,"83,081"
Sheffield,Muslim,"39,537"
Glasgow City,Muslim,"21,727"
Birmingham,Muslim,"248,634"
Bristol,Muslim,"22,086"
Cardiff,Muslim,"34,608"
Kent,Sikh,"3,152"
Leeds,Sikh,"11,767"
Surrey,Sikh,"2,307"
Essex,Sikh,"1,385"
Manchester,Sikh,"1,362"
Sheffield,Sikh,"1,136"
Glasgow City,Sikh,"1,336"
Birmingham,Sikh,"26,528"
Bristol,Sikh,"1,952"
Cardiff,Sikh,"1,197"
Kent,Other,"13,833"
Leeds,Other,"4,769"
Surrey,Other,"11,217"
Essex,Other,"12,608"
Manchester,Other,"2,262"
Sheffield,Other,"5,327"
Glasgow City,Other,"7,149"
Birmingham,Other,"12,861"
Bristol,Other,"8,546"
Cardiff,Other,"5,764"
