Country,Quality of Life Index,Savings2020
Denmark,192.67,5.760456274
Switzerland,192.01,23.13791392
Finland,190.22,4.763858426
Australia,186.21,15.22315193
Netherlands,183.67,17.78542419
Austria,182.5,14.44891197
Germany,179.78,16.0728878
Sweden,175.95,17.13314792
Norway,175.19,15.41265744
Slovenia,172.15,16.25299224
United States,172.11,17.05057315
Spain,169.82,10.80836958
Canada,163.47,14.27657015
Portugal,162.91,3.457340072
United Kingdom,162.71,7.480882151
Lithuania,159.42,9.003570306
Czech Republic,156.24,16.88426378
France,153.95,15.72936523
Ireland,153.53,21.38062623
Belgium,153.47,13.8519502
Slovakia,152.53,5.144793467
Latvia,150,9.082495458
Poland,141.83,6.851039788
Italy,140.76,10.15410826
South Korea,139.02,14.11168028
Greece,133.07,-4.799668541
Hungary,128.16,10.53898518
