Date,Employment Rate
2000 JAN,72.2
2000 FEB,72.3
2000 MAR,72.3
2000 APR,72.4
2000 MAY,72.5
2000 JUN,72.6
2000 JUL,72.7
2000 AUG,72.6
2000 SEP,72.5
2000 OCT,72.4
2000 NOV,72.5
2000 DEC,72.7
2001 JAN,72.6
2001 FEB,72.6
2001 MAR,72.7
2001 APR,72.7
2001 MAY,72.7
2001 JUN,72.6
2001 JUL,72.6
2001 AUG,72.5
2001 SEP,72.5
2001 OCT,72.6
2001 NOV,72.6
2001 DEC,72.5
2002 JAN,72.5
2002 FEB,72.5
2002 MAR,72.6
2002 APR,72.6
2002 MAY,72.7
2002 JUN,72.6
2002 JUL,72.7
2002 AUG,72.6
2002 SEP,72.7
2002 OCT,72.8
2002 NOV,72.9
2002 DEC,72.8
2003 JAN,72.6
2003 FEB,72.7
2003 MAR,72.7
2003 APR,72.8
2003 MAY,72.9
2003 JUN,72.8
2003 JUL,72.8
2003 AUG,72.8
2003 SEP,72.8
2003 OCT,72.8
2003 NOV,72.8
2003 DEC,73.0
2004 JAN,73.0
2004 FEB,73.0
2004 MAR,73.0
2004 APR,72.9
2004 MAY,72.9
2004 JUN,72.8
2004 JUL,72.8
2004 AUG,72.9
2004 SEP,72.9
2004 OCT,73.0
2004 NOV,73.0
2004 DEC,73.1
2005 JAN,73.2
2005 FEB,73.1
2005 MAR,72.9
2005 APR,72.9
2005 MAY,72.9
2005 JUN,73.0
2005 JUL,73.0
2005 AUG,73.0
2005 SEP,72.9
2005 OCT,72.8
2005 NOV,72.7
2005 DEC,72.8
2006 JAN,72.8
2006 FEB,72.9
2006 MAR,72.9
2006 APR,72.8
2006 MAY,72.8
2006 JUN,72.9
2006 JUL,73.0
2006 AUG,72.8
2006 SEP,72.8
2006 OCT,72.7
2006 NOV,72.7
2006 DEC,72.6
2007 JAN,72.5
2007 FEB,72.5
2007 MAR,72.5
2007 APR,72.7
2007 MAY,72.7
2007 JUN,72.6
2007 JUL,72.6
2007 AUG,72.7
2007 SEP,72.8
2007 OCT,72.8
2007 NOV,72.9
2007 DEC,72.9
2008 JAN,73.0
2008 FEB,73.0
2008 MAR,73.0
2008 APR,73.0
2008 MAY,72.9
2008 JUN,72.8
2008 JUL,72.6
2008 AUG,72.4
2008 SEP,72.3
2008 OCT,72.3
2008 NOV,72.2
2008 DEC,72.2
2009 JAN,71.9
2009 FEB,71.7
2009 MAR,71.4
2009 APR,71.0
2009 MAY,70.8
2009 JUN,70.6
2009 JUL,70.7
2009 AUG,70.6
2009 SEP,70.6
2009 OCT,70.6
2009 NOV,70.6
2009 DEC,70.4
2010 JAN,70.3
2010 FEB,70.2
2010 MAR,70.2
2010 APR,70.4
2010 MAY,70.4
2010 JUN,70.6
2010 JUL,70.6
2010 AUG,70.7
2010 SEP,70.5
2010 OCT,70.3
2010 NOV,70.4
2010 DEC,70.5
2011 JAN,70.6
2011 FEB,70.5
2011 MAR,70.5
2011 APR,70.5
2011 MAY,70.5
2011 JUN,70.2
2011 JUL,70.2
2011 AUG,70.1
2011 SEP,70.1
2011 OCT,70.1
2011 NOV,70.2
2011 DEC,70.2
2012 JAN,70.3
2012 FEB,70.5
2012 MAR,70.5
2012 APR,70.7
2012 MAY,70.9
2012 JUN,71.1
2012 JUL,71.2
2012 AUG,71.1
2012 SEP,71.1
2012 OCT,71.3
2012 NOV,71.4
2012 DEC,71.4
2013 JAN,71.2
2013 FEB,71.2
2013 MAR,71.2
2013 APR,71.2
2013 MAY,71.3
2013 JUN,71.5
2013 JUL,71.5
2013 AUG,71.7
2013 SEP,71.9
2013 OCT,72.0
2013 NOV,72.0
2013 DEC,72.1
2014 JAN,72.4
2014 FEB,72.5
2014 MAR,72.7
2014 APR,72.9
2014 MAY,72.8
2014 JUN,72.8
2014 JUL,73.0
2014 AUG,73.0
2014 SEP,73.0
2014 OCT,73.0
2014 NOV,73.2
2014 DEC,73.3
2015 JAN,73.4
2015 FEB,73.4
2015 MAR,73.4
2015 APR,73.3
2015 MAY,73.4
2015 JUN,73.5
2015 JUL,73.6
2015 AUG,73.8
2015 SEP,74.0
2015 OCT,74.0
2015 NOV,74.1
2015 DEC,74.1
2016 JAN,74.1
2016 FEB,74.1
2016 MAR,74.2
2016 APR,74.4
2016 MAY,74.4
2016 JUN,74.5
2016 JUL,74.5
2016 AUG,74.4
2016 SEP,74.4
2016 OCT,74.4
2016 NOV,74.6
2016 DEC,74.5
2017 JAN,74.6
2017 FEB,74.8
2017 MAR,74.8
2017 APR,74.9
2017 MAY,75.1
2017 JUN,75.3
2017 JUL,75.1
2017 AUG,75.0
2017 SEP,75.1
2017 OCT,75.3
2017 NOV,75.2
2017 DEC,75.3
2018 JAN,75.4
2018 FEB,75.6
2018 MAR,75.6
2018 APR,75.6
2018 MAY,75.5
2018 JUN,75.5
2018 JUL,75.6
2018 AUG,75.6
2018 SEP,75.7
2018 OCT,75.8
2018 NOV,75.8
2018 DEC,76.1
2019 JAN,76.1
2019 FEB,76.1
2019 MAR,76.1
2019 APR,76.0
2019 MAY,76.1
2019 JUN,76.1
2019 JUL,75.9
2019 AUG,76.0
2019 SEP,76.2
2019 OCT,76.3
2019 NOV,76.5
2019 DEC,76.5
2020 JAN,76.6
2020 FEB,76.3
2020 MAR,76.0
2020 APR,75.8
2020 MAY,75.7
2020 JUN,75.6
2020 JUL,75.4
2020 AUG,75.0
2020 SEP,74.9
2020 OCT,74.9
2020 NOV,74.7
2020 DEC,74.6
2021 JAN,74.7
2021 FEB,74.7
2021 MAR,74.7
2021 APR,74.8
2021 MAY,75.1
2021 JUN,75.2
2021 JUL,75.3
2021 AUG,75.4
