Employment rate ,,
,Value,
Jan 10,70.4,in %
Feb 10,70.3,in %
Mar 10,70.2,in %
Apr 10,70.2,in %
May 10,70.4,in %
Jun 10,70.4,in %
Jul 10,70.6,in %
Aug 10,70.6,in %
Sep 10,70.7,in %
Oct 10,70.5,in %
Nov 10,70.3,in %
Dec 10,70.4,in %
Jan 11,70.5,in %
Feb 11,70.6,in %
Mar 11,70.5,in %
Apr 11,70.5,in %
May 11,70.5,in %
Jun 11,70.5,in %
Jul 11,70.2,in %
Aug 11,70.2,in %
Sep 11,70.1,in %
Oct 11,70.1,in %
Nov 11,70.1,in %
Dec 11,70.2,in %
Jan 12,70.2,in %
Feb 12,70.3,in %
Mar 12,70.5,in %
Apr 12,70.5,in %
May 12,70.7,in %
Jun 12,70.9,in %
Jul 12,71.1,in %
Aug 12,71.2,in %
Sep 12,71.1,in %
Oct 12,71.1,in %
Nov 12,71.3,in %
Dec 12,71.4,in %
Jan 13,71.4,in %
Feb 13,71.2,in %
Mar 13,71.2,in %
Apr 13,71.2,in %
May 13,71.2,in %
Jun 13,71.3,in %
Jul 13,71.5,in %
Aug 13,71.5,in %
Sep 13,71.7,in %
Oct 13,71.9,in %
Nov 13,72,in %
Dec 13,72,in %
Jan 14,72.1,in %
Feb 14,72.4,in %
Mar 14,72.5,in %
Apr 14,72.7,in %
May 14,72.9,in %
Jun 14,72.8,in %
Jul 14,72.8,in %
Aug 14,73,in %
Sep 14,73,in %
Oct 14,73,in %
Nov 14,73,in %
Dec 14,73.2,in %
Jan 15,73.3,in %
Feb 15,73.4,in %
Mar 15,73.4,in %
Apr 15,73.4,in %
May 15,73.3,in %
Jun 15,73.4,in %
Jul 15,73.5,in %
Aug 15,73.6,in %
Sep 15,73.8,in %
Oct 15,74,in %
Nov 15,74,in %
Dec 15,74.1,in %
Jan 16,74.1,in %
Feb 16,74.1,in %
Mar 16,74.1,in %
Apr 16,74.2,in %
May 16,74.4,in %
Jun 16,74.4,in %
Jul 16,74.5,in %
Aug 16,74.5,in %
Sep 16,74.4,in %
Oct 16,74.4,in %
Nov 16,74.4,in %
Dec 16,74.6,in %
Jan 17,74.5,in %
Feb 17,74.6,in %
Mar 17,74.8,in %
Apr 17,74.8,in %
May 17,74.9,in %
Jun 17,75.1,in %
Jul 17,75.3,in %
Aug 17,75.1,in %
Sep 17,75,in %
Oct 17,75.1,in %
Nov 17,75.3,in %
Dec 17,75.2,in %
Jan 18,75.3,in %
Feb 18,75.4,in %
Mar 18,75.6,in %
Apr 18,75.6,in %
May 18,75.6,in %
Jun 18,75.5,in %
Jul 18,75.5,in %
Aug 18,75.6,in %
Sep 18,75.6,in %
Oct 18,75.7,in %
Nov 18,75.8,in %
Dec 18,75.8,in %
Jan 19,76.1,in %
Feb 19,76.1,in %
Mar 19,76.1,in %
Apr 19,76.1,in %
May 19,76,in %
Jun 19,76.1,in %
Jul 19,76.1,in %
Aug 19,75.9,in %
Sep 19,76,in %
Oct 19,76.2,in %
Nov 19,76.3,in %
Dec 19,76.5,in %
Jan 20,76.5,in %
Feb 20,76.6,in %
Mar 20,76.3,in %
Apr 20,76,in %
May 20,75.9,in %
Jun 20,75.8,in %
Jul 20,75.8,in %
Aug 20,75.6,in %
Sep 20,75,in %
Oct 20,74.9,in %
Nov 20,74.9,in %
Dec 20,74.7,in %
Jan 21,74.6,in %
Feb 21,74.7,in %
Mar 21,74.7,in %
Apr 21,74.7,in %
May 21,74.8,in %
Jun 21,75.1,in %
Jul 21,75.2,in %
Aug 21,75.3,in %
